Day,L,M,S,SD4neg,SD3neg,SD2neg,SD1neg,SD0,SD1,SD2,SD3,SD4,sex,measure
0,1.0,49.1477,0.0379,41.697,43.56,45.422,47.285,49.148,51.01,52.873,54.736,56.598,F,height
1,1.0,49.3166,0.03783,41.854,43.72,45.585,47.451,49.317,51.182,53.048,54.914,56.779,F,height
2,1.0,49.4854,0.03776,42.011,43.88,45.748,47.617,49.485,51.354,53.223,55.091,56.96,F,height
3,1.0,49.6543,0.0377,42.166,44.038,45.91,47.782,49.654,51.526,53.398,55.27,57.142,F,height
4,1.0,49.8232,0.03763,42.324,44.199,46.074,47.948,49.823,51.698,53.573,55.448,57.323,F,height
5,1.0,49.9921,0.03756,42.481,44.359,46.237,48.114,49.992,51.87,53.748,55.625,57.503,F,height
6,1.0,50.1609,0.03749,42.639,44.519,46.4,48.28,50.161,52.041,53.922,55.802,57.683,F,height
7,1.0,50.3298,0.03742,42.796,44.68,46.563,48.446,50.33,52.213,54.096,55.98,57.863,F,height
8,1.0,50.4987,0.03735,42.954,44.84,46.726,48.613,50.499,52.385,54.271,56.157,58.043,F,height
9,1.0,50.6676,0.03728,43.112,45.001,46.89,48.779,50.668,52.556,54.445,56.334,58.223,F,height
10,1.0,50.8365,0.03722,43.268,45.16,47.052,48.944,50.836,52.729,54.621,56.513,58.405,F,height
11,1.0,51.0053,0.03715,43.426,45.321,47.216,49.11,51.005,52.9,54.795,56.69,58.585,F,height
12,1.0,51.1742,0.03708,43.584,45.482,47.379,49.277,51.174,53.072,54.969,56.867,58.764,F,height
13,1.0,51.3431,0.03701,43.742,45.642,47.543,49.443,51.343,53.243,55.144,57.044,58.944,F,height
14,1.0,51.512,0.03694,43.901,45.803,47.706,49.609,51.512,53.415,55.318,57.221,59.123,F,height
15,1.0,51.651,0.0369,44.027,45.933,47.839,49.745,51.651,53.557,55.463,57.369,59.275,F,height
16,1.0,51.7895,0.03687,44.152,46.061,47.971,49.88,51.79,53.699,55.608,57.518,59.427,F,height
17,1.0,51.9272,0.03683,44.277,46.19,48.102,50.015,51.927,53.84,55.752,57.665,59.577,F,height
18,1.0,52.0641,0.0368,44.4,46.316,48.232,50.148,52.064,53.98,55.896,57.812,59.728,F,height
19,1.0,52.2002,0.03676,44.525,46.444,48.362,50.281,52.2,54.119,56.038,57.957,59.876,F,height
20,1.0,52.3353,0.03673,44.646,46.568,48.491,50.413,52.335,54.258,56.18,58.102,60.024,F,height
21,1.0,52.4695,0.03669,44.769,46.694,48.619,50.544,52.47,54.395,56.32,58.245,60.17,F,height
22,1.0,52.6027,0.03666,44.889,46.817,48.746,50.674,52.603,54.531,56.46,58.388,60.316,F,height
23,1.0,52.7349,0.03663,45.008,46.94,48.872,50.803,52.735,54.667,56.598,58.53,60.462,F,height
24,1.0,52.8661,0.0366,45.127,47.061,48.996,50.931,52.866,54.801,56.736,58.671,60.606,F,height
25,1.0,52.9963,0.03656,45.246,47.184,49.121,51.059,52.996,54.934,56.871,58.809,60.746,F,height
