agemos,sex,weight,height,bmi,headcir,waz,wapct,_bivwt,haz,hapct,_bivht,bmiz,bmipct,_bivbmi,headcz,headcpct,_bivhc,whz,whpct,_bivwh
0.5,1,3.5,50,14,,-0.569392608,28.454486596,0,-1.305325621,9.5890996694,0,0.217469078,58.607859873,0,,,,0.5624979123,71.311158717,0
3,2,6,60,16.666666667,40,0.2152077299,58.519731772,0,0.1058370585,54.214418326,0,0.2053485732,58.135010167,0,0.3859917669,65.024861685,0,0.2309959759,59.134103587,0
6,1,8.5,68,18.382352941,43.5,0.625948349,73.43255898,0,0.1665168508,56.612488835,0,0.703419995,75.910297531,0,0.1316290895,55.23611622,0,0.778869777,78.19717855,0
12,2,4.5,65,10.650887574,37,-5.308305479,5.5324543E-6,0,-3.497549626,0.0234776672,0,-4.913969749,0.0000446253,0,-5.808933859,3.143596E-7,-1,-5.008200296,0.0000274707,-1
12,1,10,74,18.261504748,45.5,0.3302856372,62.940792779,0,-0.731963326,23.209547622,0,1.0244431727,84.718700047,0,-0.43877506,33.041226668,0,0.8683311092,80.739345178,0
18,2,13.5,81,20.576131687,48,2.17114723,98.503997759,0,0.099139365,53.948619135,0,2.9072166206,99.817669711,0,1.2719354929,89.83019801,0,2.8819095802,99.802363428,0
23,1,11,84,15.589569161,46.5,-0.729600187,23.281730384,0,-0.981351268,16.320977435,0,-0.160884704,43.609210498,0,-1.194953124,11.605267271,0,-0.291104767,38.548559719,0
24,1,12.5,87,16.5,47.5,,,,,,,,,,,,,,,
72,2,22,118,15.7,51,,,,,,,,,,,,,,,
132,1,40,145,19,,,,,,,,,,,,,,,,
192,2,55,162,21,,,,,,,,,,,,,,,,
240,1,70,175,22.8,,,,,,,,,,,,,,,,
48,1,40,102,38.2,50,,,,,,,,,,,,,,,
60,2,25,155,10.4,48,,,,,,,,,,,,,,,
72,1,12,105,10.9,51,,,,,,,,,,,,,,,
84,2,45,165,16.5,,,,,,,,,,,,,,,,
120,1,25,130,14.8,,,,,,,,,,,,,,,,
168,2,80,170,27.7,,,,,,,,,,,,,,,,
30,1,8,91,9.7,,,,,,,,,,,,,,,,
144,2,95,175,31,,,,,,,,,,,,,,,,
42,1,10,85,13.8,43,,,,,,,,,,,,,,,
50.5,1,20,105,18.1,50.5,,,,,,,,,,,,,,,
92.5,2,40,128,24.4,,,,,,,,,,,,,,,,
114.5,1,45,134,25,,,,,,,,,,,,,,,,
24,1,12.5,87,16.5,47.5,,,,,,,,,,,,,,,
23.99,2,12,86.5,16.037956497,47,0.3593541699,64.033492243,0,0.0307556175,51.226778213,0,0.4654388761,67.919140023,0,-0.128907643,44.871536457,0,0.3844057654,64.9661136,0
241,1,75,180,23.1,,,,,,,,,,,,,,,,
36,2,14,95,15.5,42,,,,,,,,,,,,,,,
96,1,35,130,20.7,,,,,,,,,,,,,,,,
8,1,2.5,60,6.9444444444,38,-8.030693847,4.846147E-14,-1,-4.814698587,0.0000737111,0,-9.129486091,3.441261E-18,-1,-5.250487476,7.5848609E-6,-1,-8.810259531,6.242823E-17,-1
12,2,12,75,21.333333333,50,2.324352084,98.994668428,0,0.3865028068,65.043783785,0,2.8765657559,99.798985789,0,3.7573355273,99.991413392,0,2.8610346244,99.788869534,0
156,1,90,170,31.1,,,,,,,,,,,,,,,,
216,2,110,160,43,,,,,,,,,,,,,,,,
